Variable Name,Variable Label (CHN),Variable Label (ENG),Value Label (CHN),Value Label (ENG),
intelligence_ir,智力水平（访员打分）,Intelligence Level (Interviewer Grading),,,
interperson_ir,待人接物水平（访员打分）,Interpersonal Skills (Interviewer Grading),,,
language_ir,语言表达能力（访员打分）,Language Competence (Interviewer Grading),,,
mandarin_ir,普通话熟练程度（访员打分）,Mandarin Proficiency (Interviewer Grading),,,
Part7. Marriage and Family,,,,,
marriage,当前婚姻状态,Current Marriage Status,"1 ""未婚""
2 ""在婚""
3 ""同居""
4 ""离婚""
5 ""丧偶""","1 ""Never Married""
2 ""Married""
3 ""Cohabiting""
4 ""Divorced""
5 ""Widowed""",
fmarri_y,初婚年份,Year of First Marriage,,,
cmarri_y,当前婚姻结婚年份,Year of Current Marriage,,,
pid_s,配偶ID,Spousal ID,,,
sbirthy,配偶出生年份,Spouse's Birth Year,,,
sedu,配偶最高学历,Spouse's Highest Educational Level Attained,,,
seduy,配偶受教育年限,Spouse's Years of Education,,,
socctype_isco,配偶职业（ISCO88）,Spouse's Occupation (ISCO88),,,
soccisei,配偶职业ISEI,Spouse's Occupation ISEI,,,
nchild,孩子数,Number of Children,,,
Part8. Health,,,,,
height ,,,,,
weight,,,,,
bmi,,,,,
birthwt,,Birth Weight,,,
srhealth,,,,,
alcholic,,,,,
ciggrette,,,,,
hospital,,,,,
depression,,,,,
irhealth,,,,,
irappearance,,,,,
depression,抑郁（加总）,Depression (Sum),,,
fdepression,抑郁（因子得分）,Depression (Factor),,,
Part9. Religion,,,,,
Part10. Political Experience & Attitudes,,,,,
ccp,党员,CCP Membership,,,
trust_general,,,,,
trust_parents,,,,,
trust_neighbor,,,,,
trust_stranger,,,,,
trust_cadre,,,,,
trust_doctor,,,,,
,,,,,
Consumption,,,,,
insurance,,,,,
pension,,,,,
health ,,,,,
edu,,,,,
